dataset,representation,mc_run,accuracy,precision,recall,f1
uni_isolated_raw,raw,1,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,2,0.425,0.047619047619047616,0.25,0.08
uni_isolated_raw,raw,3,0.175,0.10810810810810811,1.0,0.1951219512195122
uni_isolated_raw,raw,4,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,5,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,6,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,7,0.225,0.09090909090909091,0.75,0.16216216216216214
uni_isolated_raw,raw,8,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,9,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,10,0.175,0.06060606060606061,0.5,0.10810810810810813
uni_isolated_raw,raw,11,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,12,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,13,0.975,1.0,0.75,0.8571428571428571
uni_isolated_raw,raw,14,0.925,1.0,0.25,0.4
uni_isolated_raw,raw,15,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,16,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,17,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,18,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,19,0.975,1.0,0.75,0.8571428571428571
uni_isolated_raw,raw,20,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,21,0.125,0.030303030303030304,0.25,0.054054054054054064
uni_isolated_raw,raw,22,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,23,0.175,0.08571428571428572,0.75,0.15384615384615383
uni_isolated_raw,raw,24,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,25,0.125,0.0,0.0,NaN
uni_isolated_raw,raw,26,0.15,0.058823529411764705,0.5,0.10526315789473684
uni_isolated_raw,raw,27,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,28,0.65,0.1875,0.75,0.3
uni_isolated_raw,raw,29,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,30,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,31,0.175,0.06060606060606061,0.5,0.10810810810810813
uni_isolated_raw,raw,32,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,33,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,34,0.875,0.0,0.0,NaN
uni_isolated_raw,raw,35,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,36,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,37,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,38,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,39,0.875,0.0,0.0,NaN
uni_isolated_raw,raw,40,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,41,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,42,0.95,1.0,0.5,0.6666666666666666
uni_isolated_raw,raw,43,0.85,0.25,0.25,0.25
uni_isolated_raw,raw,44,1.0,1.0,1.0,1.0
uni_isolated_raw,raw,45,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,46,0.975,1.0,0.75,0.8571428571428571
uni_isolated_raw,raw,47,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,48,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,49,0.15,0.03125,0.25,0.05555555555555555
uni_isolated_raw,raw,50,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,51,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,52,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,53,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,54,0.65,0.08333333333333333,0.25,0.125
uni_isolated_raw,raw,55,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,56,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,57,0.95,0.75,0.75,0.75
uni_isolated_raw,raw,58,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,59,0.925,0.6666666666666666,0.5,0.5714285714285715
uni_isolated_raw,raw,60,0.175,0.08571428571428572,0.75,0.15384615384615383
uni_isolated_raw,raw,61,0.125,0.030303030303030304,0.25,0.054054054054054064
uni_isolated_raw,raw,62,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,63,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,64,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,65,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,66,0.975,1.0,0.75,0.8571428571428571
uni_isolated_raw,raw,67,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,68,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,69,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,70,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,71,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,72,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,73,0.175,0.08571428571428572,0.75,0.15384615384615383
uni_isolated_raw,raw,74,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,75,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,76,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,77,0.875,0.0,0.0,NaN
uni_isolated_raw,raw,78,0.125,0.0,0.0,NaN
uni_isolated_raw,raw,79,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,80,0.175,0.08571428571428572,0.75,0.15384615384615383
uni_isolated_raw,raw,81,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,82,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,83,0.175,0.08571428571428572,0.75,0.15384615384615383
uni_isolated_raw,raw,84,0.375,0.13793103448275862,1.0,0.2424242424242424
uni_isolated_raw,raw,85,0.125,0.0,0.0,NaN
uni_isolated_raw,raw,86,0.85,0.3333333333333333,0.5,0.4
uni_isolated_raw,raw,87,0.975,1.0,0.75,0.8571428571428571
uni_isolated_raw,raw,88,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,89,0.175,0.06060606060606061,0.5,0.10810810810810813
uni_isolated_raw,raw,90,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,91,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,92,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,93,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,94,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,95,0.975,0.8,1.0,0.888888888888889
uni_isolated_raw,raw,96,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,97,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,98,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,99,0.125,0.0,0.0,NaN
uni_isolated_raw,raw,100,0.95,0.6666666666666666,1.0,0.8
